Title:,"Time Series, Area-Averaged of Total Column Water Vapor (Daytime/Ascending) daily (daily)"
User Start Date:,1990-01-01T00:00:00Z
User End Date:,2020-01-02T23:59:59Z
User Bounding Box:,"-93.6,18,-90.2,22.33"
Data Bounding Box:,"-93.5,18.5,-90.5,21.5"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=1990-01-01T00:00:00Z&endtime=2020-01-02T23:59:59Z&bbox=-93.6,18,-90.2,22.33&data=AIRX3STD_006_TotH2OVap_A&portal=GIOVANNI&format=json"
Fill Value (mean_AIRX3STD_006_TotH2OVap_A):, -9999

time, mean_AIRX3STD_006_TotH2OVap_A
2003-04-15,-9999
2003-04-16,30.5098324
2003-04-17,38.0295753
2003-04-18,31.1304207
2003-04-19,27.165926
2003-04-20,25.2467232
2003-04-21,30.3126945
2003-04-22,34.7338219
2003-04-23,33.6734009
2003-04-24,-9999
2003-04-25,40.2295494
2003-04-26,42.8135567
2003-04-27,47.5446281
2003-04-28,43.9796333
2003-04-29,45.1842041
2003-04-30,47.1397438
2003-05-01,-9999
2003-05-02,49.8322601
2003-05-03,45.9342804
2003-05-04,30.5871449
2003-05-05,24.8974514
2003-05-06,31.0976276
2003-05-07,28.8754253
2003-05-08,26.5747318
2003-05-09,29.6159439
2003-05-10,-9999
2003-05-11,28.4391041
2003-05-12,26.2739048
2003-05-13,34.1871796
2003-05-14,37.017395
2003-05-15,28.2041359
2003-05-16,26.7083797
2003-05-17,-9999
2003-05-18,33.9584465
2003-05-19,33.0722427
2003-05-20,40.2177773
2003-05-21,37.6764946
2003-05-22,37.0705376
2003-05-23,40.9562988
2003-05-24,31.8226414
2003-05-25,31.2419147
2003-05-26,-9999
2003-05-27,47.1759987
2003-05-28,49.5618095
2003-05-29,46.9550171
2003-05-30,45.9538536
2003-05-31,52.295517
2003-06-01,50.1274338
2003-06-02,-9999
2003-06-03,50.3119431
2003-06-04,56.2239761
2003-06-05,53.3190193
2003-06-06,50.5914001
2003-06-07,50.1110992
2003-06-08,46.7732544
2003-06-09,47.9993553
2003-06-10,41.5093536
2003-06-11,-9999
2003-06-12,41.9467354
2003-06-13,41.1961937
2003-06-14,41.3779526
2003-06-15,42.8383598
2003-06-16,49.7839317
2003-06-17,49.9561958
2003-06-18,-9999
2003-06-19,52.869976
2003-06-20,48.6347427
2003-06-21,53.690937
2003-06-22,46.6022949
2003-06-23,43.7438354
2003-06-24,43.5159836
2003-06-25,45.3480072
2003-06-26,47.0163803
2003-06-27,-9999
2003-06-28,50.8699341
2003-06-29,50.8411598
2003-06-30,48.5728874
2003-07-01,41.4164429
2003-07-02,41.9464798
2003-07-03,40.3318748
2003-07-04,-9999
2003-07-05,42.6351051
2003-07-06,48.2907066
2003-07-07,48.369873
2003-07-08,42.7839584
2003-07-09,37.4669342
2003-07-10,38.5650558
2003-07-11,51.2448235
2003-07-12,50.3527489
2003-07-13,-9999
2003-07-14,49.8873253
2003-07-15,51.9081841
2003-07-16,44.4183464
2003-07-17,38.4764328
2003-07-18,42.8135834
2003-07-19,47.4119301
2003-07-20,-9999
2003-07-21,48.9577332
2003-07-22,37.8382645
2003-07-23,42.5606537
2003-07-24,37.0261536
2003-07-25,49.9812851
2003-07-26,43.0079689
2003-07-27,44.9277267
2003-07-28,42.0034676
2003-07-29,-9999
2003-07-30,46.0657158
2003-07-31,49.9540977
2003-08-01,43.7257385
2003-08-02,41.6345558
2003-08-03,44.6359329
2003-08-04,48.2009811
2003-08-05,-9999
2003-08-06,46.6157112
2003-08-07,48.8472595
2003-08-08,49.3176804
2003-08-09,42.0817146
2003-08-10,40.414978
2003-08-11,44.5102348
2003-08-12,47.4240952
2003-08-13,42.0498466
2003-08-14,-9999
2003-08-15,46.2627907
2003-08-16,43.4586411
2003-08-17,49.5032005
2003-08-18,50.5180969
2003-08-19,46.3894691
2003-08-20,44.9042549
2003-08-21,-9999
2003-08-22,51.9186592
2003-08-23,46.5108871
2003-08-24,47.8955994
2003-08-25,48.6858597
2003-08-26,49.5781288
2003-08-27,50.6026039
2003-08-28,53.9682846
2003-08-29,54.1889343
2003-08-30,-9999
2003-08-31,43.640274
2003-09-01,49.6157303
2003-09-02,54.7679558
2003-09-03,53.1240273
2003-09-04,52.0926437
2003-09-05,49.8026772
2003-09-06,-9999
2003-09-07,47.6912613
2003-09-08,50.4989929
2003-09-09,43.2514915
2003-09-10,48.1478348
2003-09-11,46.2184143
2003-09-12,50.9690285
2003-09-13,51.7776489
2003-09-14,48.303299
2003-09-15,-9999
2003-09-16,53.1442947
2003-09-17,50.7201118
2003-09-18,53.3201942
2003-09-19,49.6260109
2003-09-20,45.929039
2003-09-21,49.3740273
2003-09-22,-9999
2003-09-23,50.022274
2003-09-24,53.3959541
2003-09-25,54.0911102
2003-09-26,50.2307701
2003-09-27,50.8022346
2003-09-28,48.0877533
2003-09-29,53.0766602
2003-09-30,51.8111038
2003-10-01,-9999
2003-10-02,49.5887756
2003-10-03,47.5856094
2003-10-04,50.053463
2003-10-05,51.8326035
2003-10-06,52.1721878
2003-10-07,53.6742897
2003-10-08,-9999
2003-10-09,51.2413406
2003-10-10,55.4429054
2003-10-11,49.3206596
2003-10-12,49.1307831
2003-10-13,51.3340263
2003-10-14,46.715126
2003-10-15,37.5334206
2003-10-16,48.0458031
2003-10-17,-9999
2003-10-18,35.9515533
2003-10-19,33.9985542
2003-10-20,34.5615616
2003-10-21,34.5119514
2003-10-22,35.8962479
2003-10-23,31.106802
2003-10-24,-9999
2003-10-25,31.803772
2003-10-26,41.3664246
2003-10-27,44.0102196
2003-10-28,44.1582336
2003-10-29,-9999
2003-11-19,28.1862526
2003-11-20,25.8698978
2003-11-21,23.2164116
2003-11-22,24.4725266
2003-11-23,26.4049606
2003-11-24,37.409626
2003-11-25,-9999
2003-11-26,36.141346
2003-11-27,34.6579247
2003-11-28,39.5490074
2003-11-29,21.4096088
2003-11-30,34.6073837
2003-12-01,32.9544144
2003-12-02,25.859293
2003-12-03,25.0588055
2003-12-04,-9999
2003-12-05,29.331707
2003-12-06,26.6434574
2003-12-07,24.0360947
2003-12-08,18.7058411
2003-12-09,20.6769199
2003-12-10,31.6015778
2003-12-11,-9999
2003-12-12,32.3019447
2003-12-13,33.7012749
2003-12-14,24.5838318
2003-12-15,21.3882999
2003-12-16,35.8010216
2003-12-17,25.875103
2003-12-18,13.8912611
2003-12-19,22.546566
2003-12-20,-9999
2003-12-21,22.1701088
2003-12-22,25.9246101
2003-12-23,23.4725819
2003-12-24,24.1539936
2003-12-25,20.4730663
2003-12-26,25.0516434
2003-12-27,-9999
2003-12-28,31.8913822
2003-12-29,32.168705
2003-12-30,38.3266792
2003-12-31,30.0573826
2004-01-01,31.1688862
2004-01-02,27.0551815
2004-01-03,23.381216
2004-01-04,24.0301418
2004-01-05,-9999
2004-01-06,35.2013741
2004-01-07,34.8064957
2004-01-08,31.8575115
2004-01-09,33.8814507
2004-01-10,32.0067902
2004-01-11,28.8197269
2004-01-12,-9999
2004-01-13,32.6657372
2004-01-14,33.2565765
2004-01-15,32.535141
2004-01-16,32.6543083
2004-01-17,31.5386391
2004-01-18,37.0716515
2004-01-19,27.4385719
2004-01-20,23.4153328
2004-01-21,-9999
2004-01-22,32.9742241
2004-01-23,30.9783268
2004-01-24,22.2000141
2004-01-25,26.2948513
2004-01-26,24.3933582
2004-01-27,29.6205444
2004-01-28,-9999
2004-01-29,35.4642944
2004-01-30,41.7292938
2004-01-31,31.0220909
2004-02-01,31.4374313
2004-02-02,23.4435616
2004-02-03,34.6846466
2004-02-04,33.1965599
2004-02-05,29.0258083
2004-02-06,-9999
2004-02-07,34.4055786
2004-02-08,33.1141815
2004-02-09,35.9362335
2004-02-10,32.095993
2004-02-11,29.0600109
2004-02-12,32.8625984
2004-02-13,-9999
2004-02-14,42.3199539
2004-02-15,27.3685741
2004-02-16,35.1230392
2004-02-17,27.3021107
2004-02-18,18.395607
2004-02-19,24.1049919
2004-02-20,28.9145451
2004-02-21,29.3987503
2004-02-22,-9999
2004-02-23,30.6921654
2004-02-24,27.4941044
2004-02-25,30.4451847
2004-02-26,26.7795448
2004-02-27,18.5876484
2004-02-28,20.9797268
2004-02-29,-9999
2004-03-01,22.6403561
2004-03-02,26.6884975
2004-03-03,33.0151329
2004-03-04,30.0007477
2004-03-05,26.9939156
2004-03-06,29.7023373
2004-03-07,22.1169758
2004-03-08,29.7323437
2004-03-09,-9999
2004-03-10,28.6544418
2004-03-11,29.4247112
2004-03-12,33.1342239
2004-03-13,37.7868767
2004-03-14,40.6477623
2004-03-15,38.1922264
2004-03-16,-9999
2004-03-17,42.6512718
2004-03-18,40.2702713
2004-03-19,37.3630104
2004-03-20,23.1267529
2004-03-21,30.3844242
2004-03-22,34.232605
2004-03-23,30.1197147
2004-03-24,31.9273205
2004-03-25,-9999
2004-03-26,28.5203438
2004-03-27,27.4539013
2004-03-28,36.0734177
2004-03-29,37.5298424
2004-03-30,38.1176414
2004-03-31,34.9566193
2004-04-01,-9999
2004-04-02,35.9160652
2004-04-03,40.2621689
2004-04-04,40.1131859
2004-04-05,39.4693069
2004-04-06,40.8536682
2004-04-07,39.423687
2004-04-08,44.4417801
2004-04-09,46.2452774
2004-04-10,-9999
2004-04-11,38.2194595
2004-04-12,40.4017792
2004-04-13,30.9513855
2004-04-14,23.7346115
2004-04-15,18.3094864
2004-04-16,21.3918114
2004-04-17,-9999
2004-04-18,21.2513103
2004-04-19,22.9294662
2004-04-20,24.9646816
2004-04-21,22.287693
2004-04-22,29.0804062
2004-04-23,35.9775085
2004-04-24,37.471405
2004-04-25,44.5752144
2004-04-26,-9999
2004-04-27,43.7517509
2004-04-28,43.5959206
2004-04-29,42.9448433
2004-04-30,38.4345474
2004-05-01,35.7610817
2004-05-02,44.8325119
2004-05-03,-9999
2004-05-04,40.3350067
2004-05-05,39.34375
2004-05-06,43.1731339
2004-05-07,46.7095642
2004-05-08,45.0241852
2004-05-09,44.4346352
2004-05-10,44.5663528
2004-05-11,43.5718727
2004-05-12,-9999
2004-05-13,38.6844826
2004-05-14,42.7496109
2004-05-15,43.7614326
