Title:,"Time Series, Area-Averaged of Total Column Water Vapor (Daytime/Ascending) daily (daily)"
User Start Date:,1990-01-01T00:00:00Z
User End Date:,2020-01-02T23:59:59Z
User Bounding Box:,"-97,18,-93.6,22.33"
Data Bounding Box:,"-96.5,18.5,-94.5,21.5"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=1990-01-01T00:00:00Z&endtime=2020-01-02T23:59:59Z&bbox=-97,18,-93.6,22.33&data=AIRX3STD_006_TotH2OVap_A&portal=GIOVANNI&format=json"
Fill Value (mean_AIRX3STD_006_TotH2OVap_A):, -9999

time, mean_AIRX3STD_006_TotH2OVap_A
2003-04-16,36.9755096
2003-04-17,37.5781021
2003-04-18,33.4657326
2003-04-19,32.1730881
2003-04-20,28.6621513
2003-04-21,34.6303673
2003-04-22,-9999
2003-04-23,41.1556396
2003-04-24,35.7713432
2003-04-25,36.39048
2003-04-26,40.4573593
2003-04-27,46.015976
2003-04-28,41.3945961
2003-04-29,-9999
2003-04-30,45.2132454
2003-05-01,31.575531
2003-05-02,43.7553101
2003-05-03,40.6406631
2003-05-04,36.9328079
2003-05-05,22.3096676
2003-05-06,23.2613983
2003-05-07,30.2814102
2003-05-08,-9999
2003-05-09,33.8071251
2003-05-10,30.3188171
2003-05-11,29.8268318
2003-05-12,31.9349613
2003-05-13,39.5741081
2003-05-14,39.4981651
2003-05-15,-9999
2003-05-16,30.3287144
2003-05-17,25.0906105
2003-05-18,33.8852043
2003-05-19,28.0328236
2003-05-20,34.0026512
2003-05-21,41.9478951
2003-05-22,40.336422
2003-05-23,43.6295357
2003-05-24,-9999
2003-05-25,34.3051147
2003-05-26,46.4129944
2003-05-27,48.1985626
2003-05-28,48.0796776
2003-05-29,47.2462769
2003-05-30,44.6674652
2003-05-31,-9999
2003-06-01,46.3373413
2003-06-02,49.1067924
2003-06-03,52.1735802
2003-06-04,52.7809334
2003-06-05,52.3464661
2003-06-06,51.2600098
2003-06-07,52.9697952
2003-06-08,49.2853813
2003-06-09,-9999
2003-06-10,53.3763275
2003-06-11,42.1194725
2003-06-12,39.4496765
2003-06-13,39.9599991
